"Code","Date","SNHT"
"S2","2011-11-01",36.5
"S20","1986-05-01",20.4
"S24","1956-10-01",40.2
"S24","1960-03-01",36
"S271","1981-01-01",26.3
"S271","1981-04-01",30.5
"S272","1969-04-01",20.2
"S272","1999-12-01",28
"S276","1986-01-01",25
"S276","1986-04-01",20.4
"S278","2003-02-01",35.2
"S280","1959-09-01",37.2
"S281","1999-02-01",44.1
"S286","1997-12-01",33.4
"S287","2012-02-01",25.9
"S291","2000-01-01",56.1
"S301","1955-10-01",24.9
"S312","1996-03-01",25.5
"S314","2006-12-01",29.8
"S319","2003-11-01",29.7
"S323","1959-09-01",38.8
"S36","2012-01-01",21.6
"S370","1988-03-01",27.9
"S40","2001-04-01",24.8
"S41","2001-01-01",33.6
"S41","2001-04-01",25.8
"S415","1999-12-01",25.1
"S415","2000-06-01",21.8
"S455","1999-10-01",26.6
"S483","2013-10-01",27.9
"S484","1960-09-01",25.8
"S521","1999-02-01",30.8
"S524","1986-05-01",21.2
"S524","1999-03-01",33.4
"S524","2004-08-01",22.3
"S532","2010-09-01",45.7
"S537","2003-01-01",27.7
"S538","1999-01-01",40.9
"S543","2000-01-01",88
"S545","2001-03-01",37.8
"S545","2010-01-01",23.6
"S547","2007-09-01",28.5
"S547","2008-04-01",25
"S548","1980-10-01",37.9
"S548","1981-06-01",22.3
"S548","1998-11-01",33.5
"S549","1956-02-01",20.6
"S549","1956-05-01",23.7
"S552","1984-06-01",22.7
"S552","1988-10-01",32.2
"S557","2009-12-01",27.8
"S8","1971-01-01",47.3
"S8","1971-04-01",33.3
