"Code","Date","Observed","Suggested","Anomaly (std.devs.)"
"S120","2000-02-01",604,170.9,11.3
"S121","1984-03-01",47,304.5,-9.96
"S122","1981-02-01",301,125.1,10.11
"S122","1999-02-01",245,75.3,10.19
"S125","1985-11-01",276,140.8,11.39
"S125","1990-02-01",219,91.8,10.72
"S126","1978-03-01",230.1,79.2,10.02
"S129","1985-03-01",426,107.8,12.95
"S153","1984-01-01",87.5,180.7,-8.19
"S154","1975-01-01",178.5,73.3,10.68
"S154","1976-01-01",167.5,76.2,10.85
"S154","1979-01-01",206.5,85.2,10.32
"S154","2011-01-01",234,31.6,14.23
"S154","2011-02-01",590,63.5,23.49
"S154","2011-03-01",177,19.6,11.07
"S155","1992-03-01",112,27.1,10.21
"S155","2006-01-01",7,81,-8.9
"S157","1981-02-01",168,72.8,11.02
"S158","1976-01-01",321,137.9,10.99
"S158","1981-02-01",309,112.7,11.78
"S158","1992-12-01",270,83.6,10.85
"S160","1984-01-01",191.9,415.8,-9.16
"S160","2006-01-01",55,241.8,-8.27
"S160","2006-03-01",335,46.1,11.3
"S160","2011-02-01",198.8,408.4,-8.2
"S161","1976-01-01",376.2,182.1,12.62
"S162","1995-02-01",364,61.3,10.06
"S163","1984-01-01",110.2,310.3,-8.14
"S164","1976-01-01",366,174.2,11.04
"S164","1981-02-01",301,129.8,10.4
"S165","1976-02-01",360,59.6,14.88
"S165","1984-01-01",362.5,161.1,11.57
"S175","1977-12-01",537,190.4,12.36
"S222","1972-01-01",61,176.7,-8.27
"S222","1981-02-01",425,174.4,11.76
"S234","1984-03-01",297.5,136.2,10.16
"S235","2001-02-01",264,54.6,12.55
"S236","1987-01-01",77,213.1,-8.11
"S237","1984-01-01",194.8,341.2,-8.18
"S237","2008-01-01",479,241.2,12.65
"S238","1986-12-01",163.6,41.6,12.14
"S238","2000-01-01",213.5,57.4,15.55
"S239","1976-01-01",289.8,119.6,11.82
"S246","1979-01-01",235,88.7,13.8
"S247","1986-02-01",121,29.7,10.14
"S247","1987-01-01",165.5,50.2,11.94
"S249","1984-01-01",93.5,46.6,10.31
"S250","1987-02-01",120,14.6,11.13
"S254","1984-01-01",225,90.7,10.67
"S256","1975-01-01",188,72.5,11.14
"S256","1976-01-01",231,82.6,11.09
"S256","1977-12-01",201,53.6,11.01
"S256","1979-01-01",359,97.7,11
"S256","2001-02-01",387,65.8,13.53
"S256","2001-03-01",261.3,45.7,11.16
"S257","1985-02-01",554,74.1,16.78
"S257","2006-01-01",94.3,224.5,-8.34
"S260","1979-01-01",108.2,240.1,-8.38
"S260","2004-01-01",221.5,77.9,10.18
"S260","2006-01-01",94.2,225.5,-8.74
"S261","1976-01-01",50.8,129.5,-8.58
"S261","1979-01-01",49,162.8,-10.83
"S261","2006-01-01",52.4,140.8,-8.41
"S263","2001-02-01",203.4,81.1,10.01
"S263","2001-03-01",270,90.3,13.71
"S264","1988-02-01",172,44.9,14.11
