"X","Y","Code","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
-65.866667,-28.216667,"S119",0.002,0.023,0.394,0.008,0.59,0.127,0.401,0.647,0.355,0.955,0.373,0.004,0
-65.9667,-27.9074,"S120",0.356,0.101,0.267,0.043,0.006,0.003,0.006,0.001,0.022,0.427,0.55,0.172,0.019
-65.8667,-28.2167,"S121",0,0,0.25,0.002,0.123,0.205,0.046,0.071,0.267,0.658,0.443,0.003,0
-65.8,-27.9667,"S122",0.013,0.007,0.174,0.025,0.037,0,0,0,0.02,0.516,0.888,0.005,0
-65.866667,-27.916667,"S123",0.005,0.013,0.369,0.013,0.381,0.698,0.409,0.449,0.835,0.743,0.825,0.045,0
-65.866667,-27.916667,"S123-2",0.005,0.013,0.368,0.013,0.375,0.699,0.411,0.433,0.834,0.741,0.825,0.044,0
-65.866667,-27.816667,"S124",0.05,0.062,0.57,0.023,0.918,0.043,0.831,0.025,0.068,0.957,0.822,0.095,0.008
-65.866667,-27.816667,"S124-2",0.05,0.062,0.571,0.023,0.915,0.045,0.837,0.025,0.067,0.959,0.822,0.095,0.008
-65.866667,-27.816667,"S124-3",0.05,0.062,0.57,0.023,0.918,0.045,0.836,0.025,0.068,0.96,0.821,0.095,0.008
-65.811944,-28.065,"S125",0.012,0.003,0.618,0.011,0.396,0.014,0.076,0.019,0.127,0.739,0.675,0.019,0
-65.811944,-28.065,"S125-2",0.012,0.003,0.617,0.011,0.396,0.014,0.074,0.019,0.126,0.74,0.674,0.019,0
-65.811944,-28.065,"S125-3",0.012,0.003,0.618,0.011,0.393,0.014,0.075,0.02,0.126,0.739,0.676,0.019,0
-65.811111,-28.073889,"S126",0.048,0.011,0.65,0.006,0.027,0,0.002,0,0.012,0.561,0.616,0.07,0
-65.8,-28.0167,"S128",0,0.02,0.25,0.17,0.854,0.134,0.992,0.006,0.252,0.781,0.527,0.005,0
-65.9,-28.133333,"S129",0.024,0.031,0.655,0.033,0.234,0.974,0.077,0.743,0.694,0.843,0.733,0.059,0.008
-66.5981666666666,-27.6411667,"S149",0,0,0.31,0.211,0.005,0.052,0.153,0.688,0.959,0.825,0.79,0.025,0
-66.5981666666666,-27.6411667,"S149-2",0,0,0.31,0.207,0.005,0.05,0.155,0.688,0.949,0.824,0.791,0.025,0
