"X","Y","Code","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
-65.866667,-28.216667,"S119",48.6,52.6,48.9,27,9.2,5,4.8,5.3,11.9,30.4,33.7,49.4,13
-65.9667,-27.9074,"S120",67.1,64.6,86.5,40.5,13.9,10,6.3,6.5,15.7,25.9,33.7,55,18.7
-65.8667,-28.2167,"S121",69.8,54.9,49.4,27.3,11.4,7.7,6.3,8.7,12.9,35.8,41.2,69,16.6
-65.8,-27.9667,"S122",50.3,46.2,39.4,22.9,9.2,4.9,4.6,4.8,8.7,23.2,37.9,35.7,11.1
-65.866667,-27.916667,"S123",49,42.9,34.2,17.3,6.6,3.3,3.6,3.4,7.2,18.6,29.6,37,9.4
-65.866667,-27.916667,"S123-2",53.5,46.9,37.4,18.9,7.2,3.6,4,3.7,7.9,20.4,32.3,40.5,10.3
-65.866667,-27.816667,"S124",65.5,59.6,54,23.1,10.4,4.9,6.1,7,12.9,24.9,47.3,43.4,14.7
-65.866667,-27.816667,"S124-2",61.8,56.2,50.9,21.8,9.9,4.6,5.8,6.6,12.1,23.5,44.6,40.9,13.8
-65.866667,-27.816667,"S124-3",63.5,57.7,52.3,22.3,10.1,4.8,5.9,6.8,12.5,24.1,45.8,42,14.2
-65.811944,-28.065,"S125",38.3,34,36,19.2,9.7,3.7,3.7,4.7,8.8,21.8,24.9,33.5,9.2
-65.811944,-28.065,"S125-2",36.5,32.4,34.3,18.3,9.3,3.5,3.5,4.4,8.4,20.7,23.7,31.9,8.7
-65.811944,-28.065,"S125-3",55,48.8,51.6,27.5,14,5.2,5.3,6.7,12.7,31.2,35.8,48,13.2
-65.811111,-28.073889,"S126",41.7,34.1,31.8,19,9.2,5.6,7.3,5.4,7.9,19.9,22.3,36.2,10.4
-65.8,-28.0167,"S128",41.8,39.9,39.2,20.9,4.6,1.6,2.5,1.8,5.8,26.1,26.8,44.4,10.5
-65.9,-28.133333,"S129",55.5,58.8,46.8,33.2,11.6,5.3,4.4,6,17.3,29.5,33.1,47.7,14.8
-66.5981666666666,-27.6411667,"S149",17.3,19.7,14.9,7.3,3.8,2.7,3,2.5,3.2,9.9,8.5,21.7,4.9
-66.5981666666666,-27.6411667,"S149-2",20.6,23.4,17.7,8.7,4.5,3.3,3.6,3,3.8,11.7,10.1,25.8,5.8
-66.3175,-27.6524167,"S150",56.1,48.5,37.6,18.1,7.9,4.6,4.5,8.2,20.6,21.3,20.8,43.4,12.3
-66.5034722222222,-27.5359167,"S151",58.4,48.6,44.3,18.5,10.1,7.7,8.1,6.9,11.3,26.8,27.5,47.3,12.3
