"X","Y","Code","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
-65.866667,-28.216667,"S119",77.6,63.4,22.4,37.5,2.7,-4,-2.1,-1.3,5.9,-0.9,16.1,73.7,24.2
-65.9667,-27.9074,"S120",33.3,56.5,51.6,43.5,20.1,15.8,9.1,11.4,19.1,-11.1,-10.8,40.2,23.2
-65.8667,-28.2167,"S121",127.6,101.2,30.5,45,9.4,5.2,6.7,8.4,7.7,8.5,17,107.2,39.5
-65.8,-27.9667,"S122",65.8,65.5,28.7,27.1,10.2,12.8,8.9,11.5,10.7,8.1,-2.9,52.2,24.9
-65.866667,-27.916667,"S123",71.7,56.5,16.5,22.6,3.1,0.7,-1.6,-1.4,0.8,3.3,-3.5,39.5,17.4
-65.866667,-27.916667,"S123-2",78.3,61.7,18.1,24.7,3.4,0.8,-1.8,-1.5,0.9,3.6,-3.9,43.2,19
-65.866667,-27.816667,"S124",68.2,59.2,16.5,27.8,0.6,5.3,0.7,8.3,12.5,0.7,5.7,38.6,20.3
-65.866667,-27.816667,"S124-2",64.3,55.8,15.5,26.2,0.6,4.9,0.6,7.8,11.8,0.6,5.4,36.4,19.2
-65.866667,-27.816667,"S124-3",66.1,57.3,16,27,0.6,5.1,0.7,8,12.1,0.7,5.6,37.4,19.7
-65.811944,-28.065,"S125",50.8,53.6,9.7,25.8,4.4,4.8,3.5,5.8,7.2,3.9,5.6,41.6,18.1
-65.811944,-28.065,"S125-2",48.4,51.1,9.2,24.6,4.2,4.5,3.3,5.5,6.9,3.7,5.4,39.6,17.2
-65.811944,-28.065,"S125-3",72.9,76.9,13.9,37,6.4,6.8,5,8.2,10.4,5.6,8,59.7,25.9
-65.811111,-28.073889,"S126",43.7,45.9,7.7,27.3,10.8,14.2,11.9,13.5,10.5,6.2,6,35,19.4
-65.8,-28.0167,"S128",78.4,49.1,24.2,15.3,0.5,1.3,0,2.7,3.5,3.9,9.1,65.3,21.1
-65.9,-28.133333,"S129",66.4,67.3,11.3,37.6,7.4,0.1,-4.1,-1.1,3.7,3.1,6.1,47.9,20.5
-66.5981666666666,-27.6411667,"S149",31.3,39,8.1,4.9,5.5,2.8,2.3,-0.5,-0.1,1.2,1.2,25.8,10.1
-66.5981666666666,-27.6411667,"S149-2",37.1,46.3,9.6,5.9,6.6,3.4,2.8,-0.7,-0.1,1.4,1.4,30.7,12
-66.3175,-27.6524167,"S150",68.2,46.5,20.2,16,1.7,0.9,-0.3,-0.6,1.7,-1.5,-14.6,23.5,13.5
-66.5034722222222,-27.5359167,"S151",91.9,79.6,0.2,22.8,3,-7.2,-5.1,1.1,11.1,6.5,1.3,55.8,21.8
-66.3171388888888,-27.5803889,"S152",53.9,59.8,12.4,20.7,4.6,7.4,5,4.6,4.9,5.1,3.1,36.9,18.2
-67.0193888888888,-27.6577222,"S153",46,26.3,4.1,22.2,3.9,1.2,0.7,2.5,3.5,-0.1,4.8,22.2,11.5
-66.945,-27.14675,"S154",38.4,38.3,6.7,1.1,0.1,1.9,1.8,0.7,0.9,-1.6,-1.5,9.7,8
-66.945,-27.14675,"S154-2",41.3,41.2,7.1,1.1,0.2,2.1,1.9,0.8,1,-1.8,-1.6,10.4,8.6
-67.1939444444444,-27.6883333,"S155",28.7,30.1,1.2,9.5,2.6,6.6,0.7,1.3,1.6,0.4,0.2,18.3,8.4
-67.1939444444444,-27.6883333,"S155-2",35.4,37.2,1.5,11.8,3.2,8.1,0.9,1.6,2,0.5,0.3,22.6,10.4
-67.0086388888888,-27.2417778,"S156",48.2,33.9,10.6,5.6,2.2,3.2,2.8,2.7,2.4,1.9,1.9,18.5,11.2
-67.0086388888888,-27.2417778,"S156-2",48.8,34.3,10.8,5.7,2.2,3.2,2.8,2.8,2.4,1.8,1.9,18.7,11.3
-66.9794722222222,-27.4875278,"S157",23.3,22.8,4.4,5,3,5.6,1.2,2.5,1.3,0.8,0.3,13.8,7
-67.10475,-27.5923889,"S158",72.3,59.1,14.3,18.3,3.4,0.5,3,2.7,5.3,5.2,5.6,38.7,19
-66.7212222222222,-27.4875278,"S159",70.9,67.6,17.8,11.9,4.4,2.5,2,3.6,4.2,3.3,-2,24.7,17.6
-66.8943611111111,-27.0074444,"S160",137.1,113.5,43.5,12.9,-7.1,-6.3,1.7,-6.9,-7.2,-1.8,-5.3,39.4,26.1
-67.1466666666666,-27.56425,"S161",138.5,125,25,48.5,22.9,22.1,13.7,14,18.5,11.1,-12.4,48.2,39.6
-67.1466666666666,-27.56425,"S161-2",108,97.4,19.5,37.8,17.9,17.3,10.7,10.9,14.4,8.6,-9.7,37.6,30.9
-67.1466666666666,-27.56425,"S161-3",121.8,109.9,22,42.7,20.2,19.5,12,12.3,16.3,9.7,-10.9,42.4,34.8
