Date,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112,S113,S114,S115,S116,S117,S118,S127,S130,S131,S132,S133,S134,S135,S136,S137,S138,S139,S140,S141,S142,S143,S144,S145,S146,S147,S148,S166,S167,S168,S171,S173,S174,S176,S177,S178,S179,S180,S181,S182,S183,S184,S185,S187,S188,S189,S190,S191,S192,S193,S194,S195,S196,S197,S198,S199,S200,S201,S203,S204,S205,S206,S207,S208,S209,S210,S211,S212,S213,S214,S215,S216,S217,S218,S219,S220,S221,S223,S224,S225,S226,S227,S228,S229,S230,S240,S241,S242,S243,S244,S252,S259,S265,S266,S267,S268,S269,S273,S274,S275,S279,S282,S285,S288,S289,S292,S294,S295,S302,S304,S307,S309,S311,S313,S315,S316,S320,S321,S322,S324,S325,S326,S327,S328,S329,S330,S331,S332,S333,S334,S336,S337,S338,S339,S340,S341,S342,S343,S344,S345,S346,S347,S348,S349,S350,S351,S352,S353,S354,S355,S356,S357,S358,S360,S361,S362,S363,S364,S365,S366,S367,S368,S369,S371,S372,S373,S374,S375,S376,S377,S378,S379,S380,S381,S382,S383,S384,S386,S387,S388,S389,S390,S391,S392,S393,S394,S395,S396,S397,S398,S399,S400,S401,S402,S403,S404,S405,S406,S407,S408,S409,S411,S412,S413,S416,S418,S420,S422,S424,S427,S428,S429,S430,S431,S432,S433,S436,S437,S439,S440,S441,S443,S445,S446,S447,S448,S452,S453,S454,S457,S458,S459,S460,S461,S462,S463,S464,S465,S466,S467,S468,S469,S470,S471,S472,S473,S474,S476,S477,S478,S479,S480,S481,S482,S490,S491,S492,S493,S494,S495,S496,S498,S499,S500,S501,S502,S504,S505,S506,S507,S508,S509,S510,S511,S512,S513,S514,S515,S516,S517,S518,S519,S522,S523,S525,S527,S528,S529,S530,S531,S540,S541,S542,S544,S550,S551,S554,S555,S556,S558,S560,S561,S563,S564
1941-01-01,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,2,2,2,0,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,2,0,0,2,0,0,2,2,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,0,0,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
1941-02-01,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,0,0,0,2,0,0,0,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,0,0,0,0,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,0,0,2,2,2,2,2,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0,2,2,2,2,2,2,0,2,0,2,0,0,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1941-03-01,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,2,2,0,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,2,0,2,2,0,2,2,0,2,2,0,0,0,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,2,0,0,2,0,2,2,2,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2,0,2,0,2,0,2,0,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
1941-04-01,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,2,2,2,2,0,2,2,0,0,2,0,2,2,0,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,0,0,0,2,2,0,0,0,0,2,2,2,2,0,0,2,0,2,0,0,2,0,0,2,2,0,0,2,0,2,0,2,0,2,2,0,2,0,0,2,2,2,2,2,2,2,0,2,0,0,0,0,2,0,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,0,2,0,2,0,0,0,0,0,0,0,2,2,2,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
1941-05-01,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,2,2,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,0,2,2,2,0,2,0,2,2,0,0,0,2,0,0,2,2,2,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,0,0,0,0,0,2,2,2,0,0,2,0,2,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,0,0,0,2,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
1941-06-01,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,2,2,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,0,2,2,2,2,0,2,2,2,2,2,0,2,2,0,0,0,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,2,0,0,2,0,2,0,2,0,2,2,0,2,0,0,2,0,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,0,2,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1941-07-01,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,2,2,2,2,0,2,2,0,0,2,0,2,2,0,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,0,2,2,0,0,0,2,2,0,2,0,2,2,0,2,0,0,2,2,0,2,0,2,2,2,2,2,2,0,0,2,0,2,2,2,0,2,2,0,2,0,0,2,2,2,0,2,2,0,2,0,0,2,0,0,2,2,0,2,0,2,2,0,2,0,2,2,2,2,2,0,2,2,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
1941-08-01,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,2,2,2,2,0,2,2,0,2,2,0,2,2,0,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,0,0,0,2,2,0,2,0,2,2,0,2,0,0,2,2,0,2,0,2,2,2,2,2,2,0,0,2,0,2,2,2,0,2,2,0,2,0,0,2,2,2,0,2,0,0,2,0,0,2,0,0,2,2,0,2,0,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
1941-09-01,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,2,0,0,0,0,2,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,0,0,0,2,2,0,2,0,2,2,0,2,0,0,2,2,0,2,0,2,2,2,2,2,2,0,0,2,0,2,2,2,0,2,2,0,2,0,0,2,2,2,0,0,2,0,2,0,0,2,0,0,2,2,0,2,0,2,2,0,2,0,2,2,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
1941-10-01,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,2,2,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,0,0,0,2,2,0,2,0,2,2,0,0,0,0,2,2,0,2,0,2,2,2,2,2,2,0,0,0,0,2,2,2,0,2,2,0,2,0,0,2,2,2,0,2,2,0,2,0,0,2,0,0,2,2,0,2,0,2,2,0,2,0,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
