"X","Y","Code","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
-62.73,-28.53,"S100",58.5,44.9,5.2,28.6,5.8,26,23.3,27.7,22.9,-15.4,13.3,68.6,25.8
-63.48,-29.37,"S101",-20.1,-59.7,-58.6,1.4,-18.5,-9.6,-9.3,4.4,3.1,-34.7,13.3,4.3,-15.3
-63.43,-27.93,"S102",2.4,-25.3,-56.5,20.8,-4.7,-2.4,-4.6,3.5,7.7,-19.5,-1,36.4,-3.6
-62.62,-28.63,"S103",48,72.4,-12.5,46,0.3,10.6,18.2,21.3,18.6,-2.5,5,60,23.8
-64.85,-27.5,"S104",48.4,18.4,-31,17.2,-9.4,4.7,0.3,7.5,12,13.8,5.6,-6.8,6.7
-62.7,-27.03,"S105",52.7,1.4,-20,56.4,-5,-12.1,-10.8,1.2,2.9,-8.6,23.4,48.1,10.8
-63.32,-28.05,"S106",49.3,46.8,-2.4,50.5,22.9,28.1,23.7,23.8,11.4,-5.2,-7.6,68.6,25.8
-62.7,-28.13,"S107",46.9,59.6,-9.1,37.2,17,28.3,21.1,27.7,20.1,-0.2,14.7,41.4,25.4
-62.62,-27.95,"S108",27.7,27.9,-34.2,18.5,-2.1,8.3,7.6,20.3,9.9,-25.8,16.8,42.3,9.8
-64.85,-27.88,"S109",91.3,39.7,43.5,31.3,-6.9,-5.8,-6.7,-3.7,10.7,1.3,39.3,58.2,24.3
-63.43,-28.8,"S110",1.5,-10.5,-57.4,40.8,-10.5,19.2,18.6,18.3,28.8,12.6,17.1,41.7,10
-64.2,-28.32,"S111",62,-17.3,-57.9,35.7,-12.1,-6.4,-2.6,6.9,2,-14.9,-22,12.5,-1.2
-64.25,-27.92,"S112",75.6,30.7,15.7,35.7,14.4,14.7,12.4,17.2,13.3,10.9,19.8,73.8,27.8
-65.48,-33.72,"S113",71.5,79.8,27.4,45.7,11.9,-28.7,3.8,-3.5,28.9,10.2,-4.3,67.8,25.9
-65.333333,-33.733333,"S114",30,60.8,19,45.8,3.9,-22.8,-5.2,5.6,29.1,3.2,17.8,43.8,19.3
-65.333333,-32.666667,"S115",48.4,89.5,37.3,5.3,-11.5,-33.9,-22.9,-22.5,8.8,-6.8,6.3,66.6,13.7
-66.333333,-33.266667,"S116",65.9,95.9,41.1,9.3,3.4,-18.8,-5.5,6.4,24,2.2,20.4,24.8,22.4
-65.73,-28.48,"S117",45,28.4,15.5,36.5,10.1,7.6,5.2,1.9,6.4,11.2,0,51.6,18.3
-65.833333,-28.6,"S118",8.4,-15.2,-1.3,19.3,0,-0.2,1.8,-3,-1.7,-5.4,6.6,37.3,3.9
-65.783333,-28.166667,"S127",68.8,60.1,16.6,26.7,9.1,15.3,14.8,14.4,12.2,4.7,2.5,39.2,23.7
-65.5,-28.812222,"S130",100,63.4,27.6,49,11,15.9,8.4,11.9,12.8,24.8,11.3,55.2,32.6
-65.55,-28.766667,"S131",48.9,44.8,9.4,28.8,-0.6,10.6,4.6,7,1,-4.6,9.7,58.9,18.2
-65.4830555555555,-28.6166667,"S132",69.6,46.4,21.7,42.4,0.2,4,-2.3,3.1,-0.6,7.4,10.6,44.4,20.6
-65.45,-28.7,"S133",105.9,51.6,6.8,49.5,7.7,8.2,0.5,1.7,4,16.5,15.1,47,26.2
-65.5167,-28.7833,"S134",20.9,13.2,-2.4,24.8,2.9,5.2,-0.4,0.3,1.6,-2.6,-20,24.4,5.7
-65.541046,-28.819354,"S135",68.4,61.7,21.5,36.9,-0.8,7.4,-1,5.5,7.3,24,-0.2,51.2,23.5
-65.616697,-28.7166,"S136",82.6,67.8,12.2,20.1,-0.8,5.4,1.1,7.1,6.4,16.4,6.7,62.6,24
-65.51,-28.78,"S137",48.8,36.2,-16.3,27.5,12.5,19.7,21,21.6,21.2,11.4,3.2,39.8,20.6
-65.3263,-28.4933,"S138",73.1,63,13.6,42.3,-4.4,-5.7,-13,-4.8,-8,-10.1,5.7,56.4,17.3
-65.5543611111111,-28.8756667,"S139",55.1,47.4,38.2,39.7,3.1,-0.9,-15.3,-8.8,-0.7,-2.3,18.7,52.4,18.9
-65.4223888888888,-29.9655556,"S140",92.8,48.3,8.3,34.4,3.7,9,3.5,4.3,6.2,5.5,31.7,30.1,23.2
-65.4736111111111,-28.6846389,"S141",84.6,64,29.9,50.7,-1.5,3.6,-5.5,-1.6,1.9,9.3,17.6,64.3,26.4
-65.5833611111111,-28.6468889,"S142",65.4,55.4,1.5,30.6,4.1,-3.6,-3.2,-2.8,11.9,2.7,0.5,36,16.6
-65.48,-28.98,"S143",69,65.5,11.1,51.4,4,9.3,1.5,3.9,9.1,4.2,15.2,40.6,23.7
-65.5325833333333,-28.6659167,"S144",75.6,74.8,19,53.9,10.2,15,9.2,12.4,14.1,14.2,18.5,65.2,31.8
-65.56,-28.8,"S145",71.2,44.1,11.3,38.6,8.9,9,4,8.2,7.9,19.1,21.3,50.3,24.5
-65.5376944444444,-28.6365,"S146",69.6,42.3,14.9,47.6,7,19.7,11.7,15.7,13.1,5,12.2,47.1,25.5
-65.55001,-29.049995,"S147",63,45.7,10.4,47.3,8.2,20.9,13.3,17.3,17.4,14,8.3,49.1,26.2
-65.12,-28.78,"S148",63.7,55.8,12.8,49.7,11.5,16.2,7.3,10.6,11.5,10.2,3.4,44.3,24.7
-66.0023333333333,-29.0251111,"S166",46.2,34.3,11.5,17.9,5.9,0.5,0.4,1.3,6.2,3.7,-0.6,30.9,13.2
-66.2444444444444,-28.8497222,"S167",52.4,52.9,6.2,32.3,10.3,11.9,8,15.8,10.1,11.9,11.2,20.3,20.3
-66.0656111111111,-28.6913889,"S168",0.3,-2.1,-43.6,7.5,-6,-7.9,-6.6,-7.9,-0.6,-13.4,-18.9,-0.8,-8.3
-65.98,-28.48,"S171",66.2,39.7,12.1,27.5,14.4,15.5,15.8,12.4,15.4,-2.9,3.9,39.8,21.6
-65.766667,-29.233333,"S173",32.6,31.9,4.3,20.1,5.1,9.3,8.3,8.4,6.5,4.3,12,42.9,15.5
-65.833827,-28.717796,"S174",53.6,61.8,6.2,23,5.4,4.1,3.4,2.8,5,9.2,15.6,42.5,19.4
-65.9530555555555,-28.5075278,"S176",53,42.8,1.2,15.8,1.9,-2.6,-0.4,1.2,3.9,-2.1,7.1,39.4,13.4
-65.878056,-28.65,"S177",47.2,40.4,1.9,19.6,10.2,15.8,7.8,6.4,8.6,1.7,3.3,29.3,16
-65.45,-29.22,"S178",25.3,30.1,7.7,25,5.7,7.1,7.4,6,8.8,9.4,4,31.3,14
-65.57,-29.38,"S179",45.2,42.5,7.4,17.6,4.1,2.4,0.2,2.3,6.4,3.5,10.7,30,14.4
-65.7658888888889,-28.4586667,"S180",46.2,47.1,5.4,20,8.2,-0.3,-0.7,-1,-1,-1.3,4.7,43.7,14.2
-65.808675,-28.4566389,"S181",45.2,45,8.3,21.6,4.5,1.1,0.3,-0.5,0.7,2,5.3,30.6,13.7
-65.820178,-28.470509,"S182",46.6,42,15.7,24.7,2.9,3.9,3.5,3.2,4.7,5.4,12.8,40,17.1
-65.3628333333333,-28.3149444,"S183",56.8,74.7,56.6,51.5,0.1,1.8,-6.9,-5.6,-3.4,-7,6.9,62.1,24
-65.297306,-28.341254,"S184",78.1,63.9,27.5,49.9,3,3,-2.7,1.1,-0.6,19.2,17.8,98.7,29.9
-65.42,-28.47,"S185",103.5,50.7,48.5,74.8,11.6,22,3.4,7.1,5.2,11.7,19.2,89.3,37.2
-65.181594,-28.242658,"S187",86.1,58.7,20.2,52.6,3,-0.3,-2,-1,0.9,-1.7,1.9,62,23.4
-65.40184,-28.579003,"S188",81.3,106.7,25.8,59.6,18.1,14.4,-10.3,-5,-2,-10.4,11.4,49.6,28.3
-65.85,-28.45,"S189",22.5,27.5,17.1,48,43.2,41.4,29.3,23.9,25.4,14.1,-19,21.7,24.6
-65.4899722222222,-28.5685833,"S190",114.4,61.3,-3.5,54.2,2,6.5,-2.1,-1,-1.5,17.2,7.4,75.8,27.6
-65.42,-28.47,"S191",78.4,60.3,16.1,63,3.9,6.4,-2.6,5,10.3,11.3,11.9,57.7,26.8
-65.51,-28.78,"S192",79.4,55.3,32.7,53,3.6,4.4,-4.6,1.9,1.3,18.5,7.3,66,26.6
-65.367395,-28.519256,"S193",82,55.7,24.2,47,5.1,13.9,7.9,9.5,7.2,1.8,5.8,48.6,25.7
-65.3256666666666,-28.5310278,"S194",112.8,50.1,16.7,55.6,3.4,7.7,0.6,6.5,4.4,11.6,23.3,60.8,29.5
-65.3508333333333,-28.5254167,"S195",79.8,95.4,27.9,31.1,5.2,-0.7,-3.4,-3.1,-0.3,9.4,10.8,54.7,25.6
-65.52,-28.61,"S196",87,47.2,23.7,70.8,9.2,16.5,9.1,10.4,8.7,39.1,11.7,87.5,35.1
-65.4327222222222,-28.4988889,"S197",88.5,92.4,43.2,47.2,-1.7,7.8,5.9,10.3,2.4,4.8,16.7,66.5,32
-65.23,-28.58,"S198",84.1,71,0,38.2,16.8,21.2,16.4,26.8,26.6,8.1,-3.9,41.9,28.9
-65.1667,-28.3667,"S199",71.4,56.7,9,35.7,2.3,4.1,1.7,4.9,6.6,4.8,21.5,68.4,23.9
-65.73,-28.37,"S200",59.7,49.5,13.4,43.9,-0.1,3.6,-2.8,0.1,6,8.4,9,46.5,19.8
-65.5,-28.2167,"S201",59.6,31.9,1,33.9,8.9,10,5,12.8,8.7,4.5,8.6,32.5,18.1
-65.36,-29.04,"S203",63.7,64.4,12.6,43.8,6.2,9.7,7.8,11.8,11.2,13.6,17.8,48.7,25.9
-65.3603888888888,-29.0381389,"S204",65.8,40.6,-5.7,29.2,-1.1,-1.4,-3.6,-1.9,1,12.6,4.3,12.4,12.7
-65.362729,-29.109399,"S205",63.4,48.7,-1.1,31,9.1,8.1,0.1,4.5,5.1,17.7,18.8,44.7,20.8
-65.4555555555555,-29.2030556,"S206",68,72.8,15.1,19.7,0.2,4.2,1.5,2.5,12.5,1.8,7.6,45,20.9
-65.4626666666666,-29.1865278,"S207",59.2,36.7,3.7,12.1,-17.2,-22.5,-33.1,-34.3,-13.2,10.4,-3.8,24,1.8
-65.35,-29.38,"S208",68.6,47.7,27.5,19.3,7.2,7.2,10,11,20.1,18.6,15.1,44.9,24.8
-65.452168,-29.555944,"S209",45,51.9,4.3,19.7,0.6,-0.5,-0.4,0.1,3.4,4.4,16.6,29.9,14.6
-65.5073055555555,-29.4588611,"S210",44.3,51.7,17.5,28.3,13.8,22.6,16.7,19.3,17.9,5.9,19,41.1,24.9
-65.4730555555555,-29.1677778,"S211",68.5,61.8,2.4,37.5,9.5,11.8,7.6,10.8,10.5,12,27.6,39.5,25
-65.4069444444444,-29.1608333,"S212",37.8,47.7,20,45.5,32.7,49.7,38.4,43.9,34.5,14.7,2.5,33,33.4
-65.05838,-29.278188,"S213",69,57.8,11.3,31.6,2.3,2.2,-0.6,2.2,2.7,10.6,12.7,57.3,21.6
-65.4822222222222,-29.3002778,"S214",54.2,50.4,16.2,17.7,3.6,0.2,1.4,3.8,7.8,2.5,9.7,34.4,16.8
-65.69,-28.43,"S215",82.8,50.2,18.1,29.1,7.6,5.1,8,14,16.1,21.9,11.4,15.8,23.3
-65.27,-28.68,"S216",66.6,38.8,20.6,34,3.8,3.5,2.7,7.6,11.3,8.2,16.1,41.7,21.2
-65.272663,-28.794173,"S217",54.6,43.3,18.8,41.8,8.2,12.4,6.3,9.5,12.4,10.5,16.9,43,23.1
-65.23,-28.58,"S218",92.7,81,-5.4,45.7,16.4,18.2,17,19.1,21.5,21.7,36.8,65.3,35.8
-65.03,-29.27,"S219",74.4,62.7,18.7,36.5,3.4,5.1,3.9,6.8,10.4,10,14.9,56.4,25.3
-65.109822,-28.787182,"S220",67.2,68.8,14.4,26,0.5,1.5,1.8,1.5,3.1,10.2,18.7,62.4,23
-65.65,-28.28,"S221",25,51.2,24,38.6,10.1,15,12.5,15,14.2,5,11,56.7,23.2
-65.616667,-28.366667,"S223",51.3,45.2,24.5,22.5,9.7,8,5.5,6.2,5.8,11.3,6.2,27,18.6
-65.73,-27.88,"S224",123.4,164.3,9.8,47.6,13.8,11.1,8.3,10.1,6.2,-11.1,-14.2,44.6,34.5
-65.68,-28.17,"S225",51,44.6,7.4,36.3,-4.5,-4.7,-9.6,-6.7,-3.7,-6.1,-4.2,38.3,11.5
-65.65,-27.88,"S226",98.1,72.1,69.7,60.1,18.6,14.9,8.3,13.8,13,0.1,5.9,72.1,37.2
-65.75,-27.9,"S227",69.2,69.1,55.2,47.8,0,9.1,1.4,8.5,8.9,7.1,3.8,66.1,28.8
-65.575,-28.066,"S228",94.4,66.8,23.9,51.9,16.3,18.9,12.6,20.8,13.2,14.6,23.3,72.3,35.7
-65.57,-28.03,"S229",89.3,68.7,27.6,65.9,18.5,32.1,9.8,19.7,22.1,19.9,24.7,81.4,40
-65.619,-28.321,"S230",54.2,54.2,11.4,32.7,4.1,6.2,3.9,5.3,7.9,6.6,6.3,40.7,19.5
-65.71,-28.45,"S240",53.5,63.9,23.9,44.8,7.3,11.9,4.7,11.3,4,2.5,4.4,60.5,24.4
-64.27,-27.1,"S241",58.1,60.4,41.6,51.3,-1.8,8,6.8,7.7,5.9,7.1,13.7,35.8,24.6
-65.4922222222222,-28.1822222,"S242",65.1,50.3,20.6,51.2,7.9,12.1,4.5,9,5.6,1.3,13.9,74.3,26.3
-65.32,-28.1,"S243",18.9,-16.5,-15.8,43.5,3,9.6,3.8,6.8,-0.3,12,33.2,58.4,13.1
-65.13,-28.2,"S244",70.4,57.2,20.4,31.9,3.4,4.2,2.5,5.5,7.1,8.9,15.2,52.5,23.3
-65.5278,-28.7036,"S252",25.4,26.4,7.2,6,0.2,-1.1,0.1,1.1,-2.3,1.9,4.5,11.1,6.7
-65.58,-28.06,"S259",8.7,12.7,-4.1,0.9,1.1,1.7,0.1,0.2,-3.5,-3,-4.7,1.1,0.9
-65.63,-28.47,"S265",37,50.1,0.4,36,5.3,3.9,-0.7,2.1,1.1,0.8,14.1,42.6,16.1
-65.68,-28.53,"S266",32.7,42.4,8.5,28.1,8.3,8.2,6.5,6.8,7.9,4.3,7,29.9,15.9
-65.67,-28.78,"S267",56.9,58.9,18.4,39.6,11.9,14.7,9.8,10,20.6,21,16.4,42.1,26.7
-64.7833333333,-32.2333333333,"S268",85,129.1,81.7,75.3,-5.4,-16,-5.5,-7.1,20,-39.1,45.2,85.2,37.4
-64.028695,-32.152996,"S269",73.6,136.2,35.2,36.2,8.6,-5.6,11.3,9,31.8,4.6,46.2,14.4,33.5
-64.578447,-33.281913,"S273",31.8,59.1,8.2,37.3,7.9,-20.9,-12.5,-1.3,33.4,-4.4,14.7,14.4,14
-64.37539,-34.839736,"S274",55.2,75.2,68.6,37.3,8.4,-23.5,-15.4,-6.6,27.5,43.6,51.2,47.7,30.8
-63.733251,-32.423532,"S275",-7.8,35.1,2.7,16.9,-15.9,-21.6,-8,5.9,21.4,-9.1,37.4,33.1,7.5
-64.023368,-32.913669,"S279",38.3,50.9,-3.8,16,0.4,-22.1,-16.9,-6.1,26.6,18.5,36.4,13.8,12.7
-64.352353,-32.813726,"S282",40.4,58.4,-52,20.9,1.9,-18.6,-14.9,-1.4,23.2,-21.3,2.9,-14.3,2.1
-64.17184,-34.482689,"S285",65.2,88.6,56.4,45.6,27.9,-22.6,-8.1,3.5,34.8,64.7,68.2,63.1,40.6
-63.622064,-31.331742,"S288",124.4,70.6,18.6,61.8,-23.1,-18.3,-7.9,-3.4,23.3,8.1,63.3,95.8,34.4
-64.150273,-32.168539,"S289",63.9,84.8,148.7,76.1,-6.7,0.7,-3.1,13.4,20.3,-27.6,52.1,69.8,41
-64.808629,-30.721862,"S292",87.8,29,19.8,29.2,55.8,102.1,89.7,120.1,106.4,72.1,44.2,80,69.7
-63.244939,-32.414711,"S294",29.8,83.7,-7.9,34.2,8.2,-27.7,-21.1,-5.1,31.4,22.9,40.3,52.2,20.1
-64.022554,-33.623655,"S295",28.1,44.7,-3.6,47.7,9.1,-32.5,-16.6,5,25,-5.7,10.4,29.2,11.7
-64.597221,-33.62367,"S302",48.7,108.7,64.6,54.4,15.8,-21.8,-10.1,26,41.5,69.7,54.5,97.9,45.8
-63.747517,-31.845714,"S304",13.7,76.9,-5.4,64.3,-4.1,-14.1,-7.7,15.7,36.3,33.4,22.5,58.3,24.1
-64.723093,-33.384714,"S307",8,45,6.7,39.9,9.3,-25.7,-7.8,1.8,36.5,-0.8,19.6,10.6,11.9
-64.366,-34.765,"S309",109.4,92.5,61.2,33.3,17.2,-21.7,-11.2,-0.5,43.3,45.5,68.3,102.1,44.9
-64.387163,-32.452305,"S311",72.4,65.8,23.6,52.4,18.1,-11.2,-10.2,4.9,31.3,25.6,50.5,77.7,33.4
-63.769996,-31.820043,"S313",24.4,61.2,24.7,42.3,0.9,-14.2,-6.5,16,29,36,18.7,66.3,24.9
-63.883326,-31.66672,"S315",1.7,58,12.1,21.4,-13.6,-5.7,-3.3,-9,10.9,-43.1,-51.9,60.5,3.2
-65.166713,-31.950107,"S316",96,71.9,41.7,51.2,10.2,-13.9,-7.5,-1.4,34.8,27.4,47.6,83.4,36.8
-63.72289,-29.90598,"S320",22.7,45.6,-11.6,19.6,-22.1,-24,-11.8,-10.9,19,5.2,9.7,58.3,8.3
-64.1986,-31.421001,"S321",26,81.6,70.4,50.4,-17.7,-15.8,-4.1,-6.5,20.8,-9.5,40.9,69.2,25.5
-64.21214,-31.315407,"S322",71.6,59.5,20.7,57.6,-6.8,-8.9,0,5.1,28.4,18.8,28.2,74.6,29.1
-64.6,-32.9667,"S324",66.5,89.4,17.5,48.2,1.6,-19.7,-12.1,-7.2,19.7,-4.6,37.7,60.5,24.8
-64.81514,-32.9174,"S325",68.9,68.7,49.9,33.1,11.5,-11.9,-6,-0.7,43.1,-2.6,79.2,18.5,29.3
-64.541125,-33.59302,"S326",98.2,91.6,-1.3,41.9,0.3,-26.6,-20.3,-14.7,3.6,7.7,61.2,59.6,25.1
-64.705136,-33.261928,"S327",34.1,63.8,9,44.5,-0.5,-19.1,-15.4,-1.4,24.1,21.5,71.8,71.1,25.3
-64.56773,-33.22681,"S328",52.7,70.5,35,22,-10.9,-16.4,-8.8,-8.9,4.7,-7.3,45.9,73.4,21
-64.070879,-30.830108,"S329",75.1,66.9,69.8,65.6,-3.3,-3.9,-2.1,-5.5,23.9,4.2,73.1,68.7,36.1
-64.104694,-32.534778,"S330",27.3,53.5,11,21.7,-2.3,-24.6,-20.7,-6.7,23.7,19.1,70.9,36.2,17.4
-64.31573,-33.49761,"S331",54.2,54.5,-4,41.5,28.1,-25.7,-20.8,-3.2,39.9,6.8,27.4,58.5,21.4
-64.67649,-33.503986,"S332",62.7,29.2,-3.4,37.4,6,-25.2,-16.3,6.4,33.7,26.5,66.4,70.2,24.5
-64.32038,-33.324056,"S333",59.5,45.6,9.7,43.5,9.2,-24.7,-14.3,-3.1,28.2,14.3,28.7,50.6,20.6
-64.430411,-33.49011,"S334",-18.7,79.9,53,43,-7.3,-27.9,-22.2,6.2,12.1,25.4,26.9,90,21.7
-64.17478,-34.376753,"S336",70.4,84.8,56.6,30.8,11.3,-35.3,-17.8,-4.5,39.3,40.7,25.8,64.9,30.6
-64.37885,-34.012205,"S337",56.6,52.8,18.4,33.6,15.8,-30.4,-21.1,-3.1,26.2,38.9,33.2,49.3,22.5
-64.810215,-34.49593,"S338",61.6,64.2,5.8,19.9,11.1,-25.4,-23.8,-5.6,24.8,40.3,31.8,52.8,21.5
-64.50207,-34.296083,"S339",55.9,69.3,75.9,40.3,14.6,-24.7,1.2,10.1,23.6,26.9,41.2,57.3,32.6
-64.8528,-29.6389,"S340",44.5,16.2,35.9,29.1,11.2,12.1,15.5,17.9,18.6,27.3,14.5,46.2,24.1
-64.1833,-29.9333,"S341",36.2,35.8,5.5,32.7,2.7,0,5.4,6.8,22.2,0.9,31.9,51.6,19.3
-63.514933,-29.721179,"S342",46.5,40.1,-18.6,50.3,-4.6,0.1,9.2,14.6,16.5,-8.8,27.1,59.3,19.3
-64.709419,-29.805754,"S343",30.9,32.4,22.4,33.3,11.2,10.2,15.6,19.7,20.9,3.3,11.7,38.4,20.8
-63.942357,-29.787608,"S344",50,37.8,0,47.6,1.4,3.6,7.2,10.3,15,7.6,33.7,66.1,23.4
-64.5583,-30.75,"S345",61,38.7,19.9,49.5,-1,-1.4,2.8,6.7,17.5,-0.3,34.5,60.4,24
-64.183,-29.933,"S346",43.5,46.9,-1.6,44.7,2.4,-5.8,-3.1,3.4,11,-3.1,23.2,41.9,17
-63.588889,-29.926111,"S347",45.1,26.2,11.4,46.2,-2.4,-4.6,12.5,15,12,-16.3,30.3,55.6,19.2
-63.948549,-29.979465,"S348",51.6,48.3,34.1,46.3,0.4,-2,3.6,5.3,11.6,-5.7,27.9,54.1,23
-64.051217,-30.068005,"S349",40.1,34.1,1.6,42,1.9,5,16.4,16.9,18.3,-4.3,21,43.2,19.7
-64.1667,-30.25,"S350",53.3,69.5,16,42.3,-3.8,-10.9,-3,-2.7,4.7,-13.8,35.6,44.7,19.3
-64.499512,-30.215114,"S351",44.4,41.8,21.9,40.3,-0.1,0.9,4,5.8,11.8,6.1,31.4,49.3,21.5
-63.9475,-30.2527778,"S352",69.7,55.4,28.2,37.8,-9.8,-6.1,6.9,7.5,18,0.2,41.1,39,24
-63.423056,-30.270278,"S353",38.9,39.6,41.1,37.3,-5.9,-14.1,-6.3,-6.2,4.2,-21.6,39.9,40.9,15.7
-63.933333,-30.35,"S354",31.9,26.8,29.3,20.9,-6.5,-16.1,3.8,0,0.3,-10.2,-3.2,34,9.2
-63.595855,-30.377621,"S355",75.5,48.1,12.8,33.4,-8.3,-6.7,0.4,10.9,19,8.3,28.2,73.1,24.6
-65.060145,-30.483138,"S356",60.6,43.3,37.5,36.6,5.2,7.8,11.7,13.2,19.7,8.7,36.9,53.3,27.9
-64.405003,-30.567782,"S357",65.1,47,41.8,46.4,2.5,1.9,1.8,9.1,24.6,-0.6,43.1,61.4,28.7
-63.516439,-30.564299,"S358",55.1,5.3,10.8,30,-16.3,-4,0,14.9,21.7,-0.9,21.9,46.7,15.4
-64.3325555555555,-30.7227778,"S360",56,60.8,45.5,37.9,-0.6,2.9,7.3,13,25.1,22.5,54.9,77.1,33.5
-64.109585,-30.77445,"S361",91.1,68.7,29.8,34.2,-9.1,-5.7,5,12,15,-14.4,36.4,68.4,27.6
-64.808643,-30.721855,"S362",13.5,30.3,18.6,41.3,4.8,5.2,13,10.9,19.4,2.3,39.5,47.2,20.5
-64.636048,-30.783228,"S363",30.9,61.3,35.3,54.9,2.2,7.7,14.6,10.4,22.1,18.8,37.7,78.8,31.2
-64.656937,-30.91638,"S364",84,42.7,39.6,45.5,-7.9,-6.3,11.1,16.1,21.8,-2.7,52.2,90,32.2
-64.99346,-30.853922,"S365",50.8,26.6,8.6,48.7,7.5,14,17,16,17.1,-13.9,-1.4,38.6,19.1
-65.2667,-30.8167,"S366",41.5,31.8,18,40.8,6.9,11.2,15.2,17.7,27.4,33.8,43,47.1,27.9
-65.365128,-30.849852,"S367",83.9,74.1,62.3,43.2,8,8.5,12.6,13.8,23.7,6,34.4,64,36.2
-64.276667,-30.94287,"S368",59.2,68.4,71.1,47,-17.3,-3.9,9.3,22.1,16.1,4.3,49.1,58.1,31.9
-62.825431,-30.993899,"S369",59.9,104.4,21.9,34.6,-5.7,-6,-1.4,15.2,18.1,38.7,49.4,60.8,32.5
-64.3325555555555,-31.0505556,"S371",66.9,66.4,40.3,55.5,7.2,5.6,6.8,20.9,36.4,20.3,42.7,65,36.2
-64.209272,-31.484598,"S372",87,95.2,40.2,49.6,10.5,7,19.4,16,28,19.9,54.1,46.2,39.4
-64.949994,-31.066669,"S373",52.9,57.7,57.4,36.1,7.3,3.7,5.3,18.5,29.8,20.9,44.2,50.6,32
-64.8544444444444,-31.0905556,"S374",62.8,59.9,39,40.9,1.6,1,5.2,8.9,19.9,6.5,39.8,59.5,28.7
-64.363871,-31.110121,"S375",58.4,67.4,54.8,42.3,-5.5,-19.2,-10.5,-5.5,7.9,-4.5,22,63.6,22.6
-63.399541,-31.151248,"S376",51.1,70.7,35.7,50.7,-3.3,-5.6,-1.9,10.4,10.3,12.7,21,72.3,27
-65.100522,-31.177352,"S377",64.8,66.1,57.6,48,8.9,11.4,13,11.4,27.1,12.7,49.9,30,33.4
-65.3,-31.2167,"S378",68.9,70.3,43.6,31.7,1.6,-1.5,0,6.9,13.4,4.3,23.2,53.2,26.3
-64.470364,-31.246791,"S379",76.7,72.4,65.2,51.4,-4.1,-4.2,5.6,7.5,29.8,29.2,34.5,56.3,35
-65.033705,-31.238301,"S380",89.2,97.4,65.5,51.2,4,-8.2,-3.1,1.3,18.9,-0.7,34,23.4,31.1
-63.946056,-31.343355,"S381",50.8,66.7,35,56.2,-15.6,5,4.2,12.3,22.5,-5,55.6,73,30.1
-64.453889,-31.338056,"S382",53.7,63.4,59.2,44.2,-5.5,6.8,11.3,13.9,28.7,2.8,24.3,66.3,30.8
-63.418311,-31.38776,"S383",55.5,60.1,26.1,38.9,-10.3,-9,-3.8,7.6,13.6,-10.6,9.9,59.6,19.8
-63.333036,-31.401684,"S384",28.7,38.1,6.6,30.9,1.2,-8.7,-3.2,5.4,22.3,12.9,16.3,40.4,15.9
-64.780033,-31.394939,"S386",57.5,58.9,39.8,63,-2.9,-19.3,-5.9,1.3,17.4,-1.8,47.6,35.4,24.2
-63.19451,-31.424408,"S387",25.3,62.8,-10,35,8.9,31.8,30,44.3,22.4,9.1,-9.5,20.2,22.5
-65.45,-31.4,"S388",43.9,43.6,37.4,36.7,6.3,8.9,10.1,11.8,19.1,4.4,20.5,49.5,24.3
-65.281357,-31.489875,"S389",34.5,48,57.8,36.3,0.9,0.3,4.7,6.6,22.4,10.1,40,54.8,26.4
-64.3797777777777,-31.5005556,"S390",17.5,25.9,22.9,46.2,-5.2,-6.5,-7.9,2.6,16,-52.7,16.9,21.7,8.1
-65.054645,-31.489993,"S391",10.6,39.3,51.2,47,6.8,9.3,18.3,18.9,24.8,-1.9,11.6,39,22.9
