"X","Y","Code","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
-61.01967,-30.409196,"S1",0.497,0.616,0.668,0.078,0.98,0.751,0.072,0.864,0.828,0.564,0.562,0.18,0.178
-61.980994,-32.14331,"S10",0.815,0.129,0.652,0.853,0.349,0.048,0.048,0.729,0.932,0.465,0.309,0.026,0.143
-62,-29.883333,"S11",0.135,0.385,0.138,0.038,0.838,0.089,0.136,0.197,0.955,0.83,0.302,0.174,0.018
-61.560735,-30.945171,"S12",0.276,0.031,0.722,0.061,0.56,0,0.003,0.436,0.538,0.166,0.028,0.003,0.012
-61.55,-31.18,"S13",0.654,0.073,0.543,0.726,0.385,0.83,0.114,0.905,0.426,0.802,0.04,0.082,0.062
-61.506404,-31.280864,"S14",0.913,0.089,0.194,0.098,0.982,0.58,0.009,0.983,0.829,0.761,0.156,0.166,0.015
-60.833333,-31.7,"S15",0.168,0.288,0.551,0.114,0.77,0.662,0.154,0.827,0.653,0.278,0.083,0.046,0.027
-61.666667,-32.3,"S16",0.979,0.158,0.982,0.812,0.925,0.43,0.128,0.267,0.229,0.13,0.514,0.011,0.022
-62,-33.666667,"S17",0.228,0.02,0.324,0.102,0.603,0.006,0.03,0.626,0.539,0.155,0.235,0.276,0.008
-59.666667,-29.183333,"S18",0.769,0.439,0.297,0.358,0.995,0.286,0.021,0.662,0.491,0.401,0.302,0.144,0.619
-60.85,-32.55,"S19",0.688,0.165,0.549,0.206,0.434,0.043,0.028,0.798,0.882,0.097,0.519,0.034,0.146
-61.208611,-32.8558333,"S2",0.879,0.031,0.988,0.226,0.704,0.002,0.013,0.658,0.62,0.202,0.119,0.017,0.058
-60.88,-33.02,"S20",0.692,0.172,0.557,0.179,0.75,0.145,0.036,0.329,0.646,0.147,0.467,0.156,0.099
-61.916385,-30.359784,"S21",0.224,0.509,0.334,0.002,0.366,0.973,0.053,0.633,0.761,0.572,0.1,0.028,0.001
-60.833333,-32.916667,"S23",0.411,0.079,0.861,0.574,0.92,0.039,0.043,0.789,0.968,0.12,0.702,0.1,0.27
-60.55,-33.93,"S24",0.059,0.015,0.536,0.168,0.434,0.056,0.406,0.694,0.904,0.006,0.015,0.092,0.001
-62.171822,-34.450077,"S25",0.014,0.367,0.41,0.071,0.159,0.027,0.364,0.577,0.732,0.062,0.224,0.137,0.001
