"X","Y","Code","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
-65.866667,-28.216667,"S119",48.6,52.6,48.9,27,9.2,5,4.8,5.3,11.9,30.4,33.7,49.4,13
-65.9667,-27.9074,"S120",67.1,85.4,86.5,40.5,13.9,10,6.3,6.5,15.7,25.9,33.7,55,20.8
-65.8667,-28.2167,"S121",69.8,54.9,48.8,27.3,11.4,7.7,6.3,8.7,12.9,35.8,41.2,69,16.5
-65.8,-27.9667,"S122",50.3,55.2,39.4,22.9,9.2,4.9,4.6,4.8,8.7,23.2,37.9,35.7,11.8
-65.866667,-27.916667,"S123",53.5,45.2,37.7,18.8,7.2,3.5,4,3.5,7.9,20,32.3,40.6,10.4
-65.866667,-27.816667,"S124",62.5,57.2,51,22,9.9,4.8,5.9,6.7,12.2,23.8,44.9,41.5,13.9
-65.811944,-28.065,"S125",37.7,37.7,35.5,18.9,9.4,3.6,3.5,4.5,8.5,21.3,35,32.6,9.8
-65.811111,-28.073889,"S126",41.7,34.1,37.3,19,9.2,5.6,7.3,5.4,7.9,19.9,22.3,36.2,10.4
-65.8,-28.0167,"S128",41.8,39.9,39.2,20.9,4.6,1.6,2.5,1.8,5.8,26.1,26.8,44.4,10.5
-65.9,-28.133333,"S129",55.5,58.8,60.7,33.2,11.6,5.3,4.4,6,17.3,29.5,33.1,47.7,16.3
-66.5981666666666,-27.6411667,"S149",20.9,22.4,16.8,8.9,4.3,2.9,3.5,3.1,3.8,11,10.4,25.9,6
-66.3175,-27.6524167,"S150",56.1,48.5,37.6,18.1,7.9,4.6,4.5,8.2,20.6,21.3,20.8,43.4,12.3
-66.5034722222222,-27.5359167,"S151",58.4,48.6,44.3,18.5,10.1,7.7,8.1,6.9,11.3,26.8,27.5,47.3,12.3
-66.3171388888888,-27.5803889,"S152",44,43.3,30.2,21.6,7,4,5.2,7.5,4.3,17.9,16.3,31.6,9.4
-67.0193888888888,-27.6577222,"S153",21.8,17.4,15.8,13,7.1,2.9,3.2,3.5,6.8,16.1,12.5,20.3,5.1
-66.945,-27.14675,"S154",46.9,70.8,25.1,6.6,2.2,2.4,2.4,2.2,1.8,8.5,15.1,19.3,10.7
-67.1939444444444,-27.6883333,"S155",19.9,16.4,15.1,8,2.6,6.5,2.3,3.1,2.7,7.4,9.1,15.1,4.6
-67.0086388888888,-27.2417778,"S156",33.6,19.7,12.1,5.5,1.4,1.5,2,1.6,2.3,6.3,13.9,18,5.1
-66.9794722222222,-27.4875278,"S157",20.2,24.5,12.3,4.7,2.6,3.1,3.2,3.4,2.8,8.9,9.5,13.4,4.3
-67.10475,-27.5923889,"S158",55,45.8,34.6,11.7,4.3,2.2,3.5,3.4,3.8,17,22.1,44.3,10.3
-66.7212222222222,-27.4875278,"S159",48.7,35.3,23,10,3.4,2.7,2.1,2.2,3.6,11.8,17.2,35.6,8.7
-66.8943611111111,-27.0074444,"S160",67.9,52.3,53.7,22.7,5.1,4.5,5.2,3.7,6.4,21.8,31.1,43,13.5
-67.1466666666666,-27.56425,"S161",80.3,66.1,48.6,28.7,20.3,11.5,9.1,7,12.2,32.8,35.2,48.7,18.3
-67.166667,-27.666667,"S162",77.6,69.6,58.4,20.4,8,6.2,8.2,9.6,7,29.5,51.9,52.3,15
-66.95,-26.62,"S163",35.7,36.6,23.9,12.9,6.8,10,10.6,14.3,7.8,13.6,15.6,27.4,8.3
-67.1124166666666,-27.5264167,"S164",59.1,48.7,36,12.1,4.6,2.7,3.3,2.6,4.5,17.7,27.5,40.3,11.1
-66.8259722222222,-27.085,"S165",61.1,53,36.7,16.7,3.9,2.6,2.4,2.1,4.1,17.3,20,35.1,11.5
-66.03,-27.43,"S169",64.2,49.1,36.4,21.2,22.5,8.8,9.2,8.3,8.7,22.9,28.6,48,17.3
-66.1821666666666,-28.7410556,"S170",39.9,46.3,48.6,26.1,21.6,7.5,10.1,9.5,11.2,23.5,33.5,43.7,11.7
-67.63,-27.46,"S172",49.7,44.6,31.8,22.5,20.7,3.3,4.4,6.6,6.6,20.2,24.3,48.4,13
-66.297089,-28.843895,"S175",53.9,62.8,53.7,21,14.7,9,10.5,13.5,10,20.8,32.1,70,16.5
